run,repetition,Module,dischargeTime:last
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[0].energyStorage,1240.8175551477
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[1].energyStorage,1261.9974406738
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[2].energyStorage,1258.3186771807
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[3].energyStorage,1205.1735505653
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[4].energyStorage,1241.969199388
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[5].energyStorage,1218.1128461355
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[6].energyStorage,1236.8446077502
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[7].energyStorage,1214.4673800519
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[8].energyStorage,1259.3119852896
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[9].energyStorage,1243.5374869031
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[10].energyStorage,1229.7665097518
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[11].energyStorage,1223.3386266306
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[12].energyStorage,1224.808893811
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[13].energyStorage,1223.0151970721
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[14].energyStorage,1223.9282157753
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[15].energyStorage,1221.3960278762
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[16].energyStorage,1231.9329292354
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[17].energyStorage,1214.493161742
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[18].energyStorage,1229.4893402503
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[19].energyStorage,1206.962923279
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[20].energyStorage,1235.3715515397
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[21].energyStorage,1233.5069844771
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[22].energyStorage,1228.8440463073
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[23].energyStorage,1212.0629180653
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[24].energyStorage,1243.5497688538
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[25].energyStorage,1217.3502613017
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[26].energyStorage,1253.9635809344
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[27].energyStorage,1216.0802273615
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[28].energyStorage,1235.8302361442
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[29].energyStorage,1259.3691534124
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[30].energyStorage,1197.4674662781
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[31].energyStorage,1203.9367370277
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[32].energyStorage,1234.4823434239
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[33].energyStorage,1247.7277660841
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[34].energyStorage,1234.8782458673
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[35].energyStorage,1204.7204467264
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[36].energyStorage,1267.4825598314
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[37].energyStorage,1295.6217498822
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[38].energyStorage,1247.0412693715
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[39].energyStorage,1227.1557084288
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[40].energyStorage,1230.308849124
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[41].energyStorage,1259.6002096271
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[42].energyStorage,1208.8652627131
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[43].energyStorage,1230.1525008169
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[44].energyStorage,1225.151313167
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[45].energyStorage,1241.4870038752
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[46].energyStorage,1198.9930040111
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[47].energyStorage,1205.2159381491
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[48].energyStorage,1225.7593565778
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.source[49].energyStorage,1225.1754021188
fiftyNodes-0-20210528-21:22:17-74629,0,TestNet.sink.energyStorage,1207.1439792795
,,,
,,,
,,,
,,,
,,,
,,,
,,,1230.66624304486
